path,accent,number,crema-d predictions,ravdess predictions,tess predictions,combined predictions
german23.mp3,german,23,SAD,DIS,DIS,ANG
english533.mp3,english,533,FEA,DIS,DIS,DIS
spanish159.mp3,spanish,159,FEA,DIS,DIS,ANG
taiwanese1.mp3,taiwanese,1,SAD,DIS,DIS,ANG
malay3.mp3,malay,3,FEA,DIS,DIS,ANG
english360.mp3,english,360,SAD,DIS,DIS,ANG
yiddish1.mp3,yiddish,1,FEA,DIS,DIS,DIS
spanish54.mp3,spanish,54,FEA,DIS,DIS,DIS
arabic51.mp3,arabic,51,SAD,DIS,DIS,ANG
kalanga1.mp3,kalanga,1,FEA,DIS,DIS,ANG
lithuanian2.mp3,lithuanian,2,SAD,DIS,DIS,ANG
russian41.mp3,russian,41,SAD,DIS,DIS,ANG
english389.mp3,english,389,SAD,DIS,DIS,ANG
korean6.mp3,korean,6,FEA,DIS,DIS,ANG
russian38.mp3,russian,38,FEA,DIS,DIS,DIS
arabic22.mp3,arabic,22,FEA,DIS,DIS,DIS
korean33.mp3,korean,33,SAD,DIS,DIS,DIS
arabic15.mp3,arabic,15,FEA,DIS,DIS,ANG
polish29.mp3,polish,29,SAD,DIS,DIS,DIS
mandarin16.mp3,mandarin,16,SAD,DIS,DIS,ANG
dutch42.mp3,dutch,42,SAD,DIS,DIS,DIS
english235.mp3,english,235,SAD,DIS,DIS,DIS
english395.mp3,english,395,FEA,DIS,DIS,ANG
luo2.mp3,luo,2,FEA,DIS,DIS,ANG
english461.mp3,english,461,SAD,DIS,DIS,ANG
mortlockese1.mp3,mortlockese,1,SAD,DIS,DIS,DIS
mizo1.mp3,mizo,1,FEA,DIS,DIS,ANG
english439.mp3,english,439,SAD,DIS,DIS,HAP
pashto2.mp3,pashto,2,FEA,DIS,DIS,ANG
ukrainian11.mp3,ukrainian,11,FEA,DIS,DIS,DIS
english49.mp3,english,49,SAD,DIS,DIS,DIS
english66.mp3,english,66,SAD,DIS,DIS,ANG
french32.mp3,french,32,SAD,DIS,DIS,DIS
ga4.mp3,ga,4,SAD,DIS,DIS,ANG
russian22.mp3,russian,22,SAD,DIS,DIS,DIS
english174.mp3,english,174,SAD,DIS,DIS,ANG
catalan4.mp3,catalan,4,SAD,DIS,DIS,ANG
english346.mp3,english,346,FEA,DIS,DIS,DIS
spanish16.mp3,spanish,16,SAD,DIS,DIS,DIS
korean24.mp3,korean,24,SAD,DIS,DIS,ANG
english420.mp3,english,420,SAD,DIS,DIS,HAP
arabic24.mp3,arabic,24,SAD,DIS,DIS,ANG
synthesized4.mp3,synthesized,4,FEA,DIS,DIS,ANG
kru1.mp3,kru,1,SAD,DIS,DIS,ANG
miskito10.mp3,miskito,10,FEA,DIS,DIS,DIS
russian10.mp3,russian,10,FEA,DIS,DIS,ANG
arabic45.mp3,arabic,45,SAD,DIS,DIS,ANG
arabic14.mp3,arabic,14,FEA,DIS,DIS,DIS
serbian14.mp3,serbian,14,SAD,DIS,DIS,DIS
english358.mp3,english,358,SAD,DIS,DIS,ANG
english144.mp3,english,144,FEA,DIS,DIS,ANG
english404.mp3,english,404,SAD,DIS,DIS,DIS
german12.mp3,german,12,FEA,DIS,DIS,ANG
dutch8.mp3,dutch,8,FEA,DIS,DIS,ANG
taiwanese2.mp3,taiwanese,2,SAD,DIS,DIS,ANG
russian45.mp3,russian,45,SAD,DIS,DIS,ANG
english19.mp3,english,19,SAD,DIS,DIS,DIS
polish14.mp3,polish,14,SAD,DIS,DIS,ANG
mandarin64.mp3,mandarin,64,FEA,DIS,DIS,ANG
english454.mp3,english,454,SAD,DIS,DIS,ANG
mandarin6.mp3,mandarin,6,FEA,DIS,DIS,DIS
