path,id,phrase,emotion,intensity
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-04-02-01-01-01.wav,01,01,SAD,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-05-02-01-01-01.wav,01,01,ANG,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-05-01-01-02-01.wav,01,01,ANG,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-01-01-02-02-01.wav,01,02,NEU,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-07-02-01-02-01.wav,01,01,DIS,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-03-01-01-02-01.wav,01,01,HAP,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-07-01-02-01-01.wav,01,02,DIS,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-04-02-02-01-01.wav,01,02,SAD,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-03-01-02-02-01.wav,01,02,HAP,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-06-02-02-01-01.wav,01,02,FEA,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-04-01-01-01-01.wav,01,01,SAD,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-06-02-01-01-01.wav,01,01,FEA,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-03-02-02-02-01.wav,01,02,HAP,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-04-01-02-01-01.wav,01,02,SAD,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-06-01-01-02-01.wav,01,01,FEA,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-05-02-01-02-01.wav,01,01,ANG,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-03-02-01-02-01.wav,01,01,HAP,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-04-01-02-02-01.wav,01,02,SAD,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-01-01-01-02-01.wav,01,01,NEU,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-04-02-02-02-01.wav,01,02,SAD,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-05-02-02-02-01.wav,01,02,ANG,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-01-01-02-01-01.wav,01,02,NEU,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-05-02-02-01-01.wav,01,02,ANG,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-05-01-01-01-01.wav,01,01,ANG,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-03-02-01-01-01.wav,01,01,HAP,HI
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-06-01-01-01-01.wav,01,01,FEA,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-04-01-01-02-01.wav,01,01,SAD,MD
/content/Interpretability-Analysis_Bias-in-Emotion-Recognition/data/Training Data (Emotions)/RAVDESS/Actor_01/03-01-07-02-02-02-01.wav,01,02,DIS,HI
